No_QR,NOM_QR,AnneeDeclaration,NBR_LOGTRAITE,Pct_LogTraite_QR,NOM_ARROND
01,Cartierville,2011,54,0.00511605873993,Ahuntsic-Cartierville
01,Cartierville,2012,101,0.00956892468025,Ahuntsic-Cartierville
01,Cartierville,2013,361,0.0342018000947,Ahuntsic-Cartierville
01,Cartierville,2014,404,0.038275698721,Ahuntsic-Cartierville
01,Cartierville,2015,361,0.0342018000947,Ahuntsic-Cartierville
01,Cartierville,2016,374,0.0354334438655,Ahuntsic-Cartierville
01,Cartierville,2017,150,0.0142112742776,Ahuntsic-Cartierville
01,Cartierville,2018,43,0.00407389862624,Ahuntsic-Cartierville
02,Nouveau-Bordeaux,2011,8,0.00063371356147,Ahuntsic-Cartierville
02,Nouveau-Bordeaux,2012,17,0.00134664131812,Ahuntsic-Cartierville
02,Nouveau-Bordeaux,2013,132,0.0104562737643,Ahuntsic-Cartierville
02,Nouveau-Bordeaux,2014,76,0.00602027883397,Ahuntsic-Cartierville
02,Nouveau-Bordeaux,2015,60,0.00475285171103,Ahuntsic-Cartierville
02,Nouveau-Bordeaux,2016,53,0.00419835234474,Ahuntsic-Cartierville
02,Nouveau-Bordeaux,2017,168,0.0133079847909,Ahuntsic-Cartierville
02,Nouveau-Bordeaux,2018,23,0.00182192648923,Ahuntsic-Cartierville
03,Nicolas-Viel,2011,41,0.00450400966714,Ahuntsic-Cartierville
03,Nicolas-Viel,2012,65,0.00714050313084,Ahuntsic-Cartierville
03,Nicolas-Viel,2013,121,0.0132923212128,Ahuntsic-Cartierville
03,Nicolas-Viel,2014,190,0.0208722399209,Ahuntsic-Cartierville
03,Nicolas-Viel,2015,125,0.0137317367901,Ahuntsic-Cartierville
03,Nicolas-Viel,2016,62,0.00681094144787,Ahuntsic-Cartierville
03,Nicolas-Viel,2017,53,0.00582225639899,Ahuntsic-Cartierville
03,Nicolas-Viel,2018,20,0.00219707788641,Ahuntsic-Cartierville
04,Sault-au-Récollet,2011,68,0.00511393547417,Ahuntsic-Cartierville
04,Sault-au-Récollet,2012,79,0.00594118974205,Ahuntsic-Cartierville
